+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
|   Mã môn  | Tên môn học                                                             |  Nhóm  | Tổ | Số tín chỉ |    Lớp    |        ID Môn        |
| 61ENG3FL2 | Ngoại ngữ 2 - tiếng Anh A2                                              |   01   |    |     4      |     *     | -7731635415075749833 |
| 61ENG3INR | Nhập môn Nghiên cứu                                                     |   01   |    |     2      |     *     | -6263757329278351956 |
| 61ENG3IP1 | Phiên dịch 1                                                            |   01   |    |     3      |     *     | -5017852784678965757 |
| 61ENG3ITI | Nhập môn Biên - Phiên dịch                                              |   01   |    |     2      |     *     | -6133755963002159235 |
| 61ENG3LAT | Lý thuyết Học ngoại ngữ                                                 |   01   |    |     2      |     *     | -4998575842750702194 |
| 61ENG3LEC | Văn học các nước nói tiếng Anh                                          |   01   |    |     4      |     *     | -8044880587727807596 |
| 61ENG3LEX | Từ vựng học tiếng Anh                                                   |   01   |    |     3      |     *     | -7251883793120932201 |
| 61ENG3TP1 | Biên dịch 1                                                             |   01   |    |     3      |     *     | -8311260785360921734 |
| 61ENG4PLT | Tâm lý học trong Giảng dạy Ngôn ngữ                                     |   01   |    |     3      |     *     | -5293209727283096296 |
|  61ESP1A2 | Thực hành tiếng A2                                                      |   01   |    |     14     | 1C-22CACN | -7190844232560598723 |
| 61FRE22B1 | Thực hành tiếng 2B1                                                     |   01   |    |     4      |     *     | -7077453228370870574 |
| 61FRE23B1 | Thực hành tiếng 3B1                                                     |   01   |    |     4      |     *     | -8966470431752518874 |
| 61FRE2FFC | Văn hóa Pháp ngữ                                                        |   01   |    |     3      |     *     | -7726471904893733086 |
| 61FRE2GEC | Kinh tế Đại cương                                                       |   01   |    |     2      |     *     | -5187276585419733211 |
| 61FRE31C1 | Thực hành tiếng 1C1                                                     |   01   |    |     4      |     *     | -9205732880866259752 |
| 61FRE3FL1 | Ngoại ngữ 2 - tiếng Pháp A1                                             |   01   |    |     3      |     *     | -6190717915292788779 |
| 61FRE3FL2 | Ngoại ngữ 2 - tiếng Pháp A2                                             |   01   |    |     4      |     *     | -6189501497887774686 |
| 61FRE3FT1 | Tiếng Pháp Du lịch 1                                                    |   01   |    |     4      |     *     | -8770330179574970307 |
| 61FRE3IP2 | Thực hành dịch nói 2                                                    |   01   |    |     4      |     *     | -6412502242653078485 |
| 61FRE3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -7663071563876995034 |
| 61FRE3ITO | Nhập môn Du lịch tiếng Pháp                                             |   01   |    |     3      |     *     | -9056053981511347671 |
| 61FRE3LI1 | Ngôn ngữ học tiếng Pháp 1                                               |   01   |    |     3      |     *     | -5089508405721612151 |
| 61FRE3TP2 | Thực hành dịch viết 2                                                   |   01   |    |     4      |     *     | -6941210876459162670 |
| 61FRE43C1 | Thực thành tiếng 3C1                                                    |   01   |    |     3      |     *     | -9171388643585192498 |
| 61FRE4CTO | Văn hóa và Du lịch tiếng Pháp                                           |   01   |    |     4      |     *     | -6598910861129742398 |
| 61FRE4CTS | Giao tiếp trong Du lịch - Định hướng nghề Nhân viên Văn phòng Du lịch   |   01   |    |     3      |     *     | -5805889905263670338 |
| 61FRE4IN2 | Thực tập 2                                                              |   01   |    |     6      |     *     | -8777977000710748593 |
| 61FRE4ITS | Lược dịch - Dịch Tổng hợp văn bản                                       |   01   |    |     2      |     *     | -8113278607076134773 |
| 61FRE4LIT | Văn học Pháp ngữ                                                        |   01   |    |     4      |     *     | -7336391837041536888 |
| 61FRE4SUT | Du lịch Bền vững tiếng Pháp                                             |   01   |    |     3      |     *     | -5592420376003010667 |
| 61FRE4TOP | Điều hành Du lịch                                                       |   01   |    |     3      |     *     | -8105286292857226593 |
| 61GER1SRS | Phương pháp Nghiên cứu khoa học                                         |   01   |    |     2      |     *     | -6575233252660332363 |
| 61GER21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -6598575433489086206 |
| 61GER22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -4824709008571240206 |
| 61GER23B2 | Thực hành tiếng 3B2                                                     |   01   |    |     3      |     *     | -8810814727136044016 |
| 61GER33C1 | Thực hành tiếng 3C1                                                     |   01   |    |     3      |     *     | -4673691373228299509 |
| 61GER34C1 | Thực hành tiếng 4C1                                                     |   01   |    |     3      |     *     | -5633743630240015013 |
| 61GER3FL1 | Ngoại ngữ 2 - tiếng Đức A1                                              |   01   |    |     3      |     *     | -8186272158412777570 |
| 61GER3FL2 | Ngoại ngữ 2 - tiếng Đức A2                                              |   01   |    |     4      |     *     | -7394638149698913934 |
| 61GER3ITI | Nhập môn Biên - Phiên dịch                                              |   01   |    |     2      |     *     | -8623098088032816740 |
| 61GER3ITM | Nhập môn Giảng dạy tiếng Đức                                            |   01   |    |     2      |     *     | -4912319773420977789 |
| 61GER3LI1 | Ngôn ngữ học tiếng Đức 1                                                |   01   |    |     4      |     *     | -5465617899583174968 |
| 61GER4ERC | Lỗi và Chữa lỗi                                                         |   01   |    |     2      |     *     | -8417803417540902400 |
| 61GER4ICP | Giảng dạy kiến thức Đất nước học và Kỹ năng giao tiếp liên văn hóa      |   01   |    |     2      |     *     | -5579395031532093331 |
| 61GER4IP2 | Phiên dịch 2                                                            |   01   |    |     3      |     *     | -7939828937810834526 |
| 61GER4LMD | Phân tích và Thiết kế học liệu                                          |   01   |    |     3      |     *     | -5928675429244727601 |
| 61GER4RMT | Phương pháp Nghiên cứu trong Giảng dạy Ngoại ngữ                        |   01   |    |     3      |     *     | -6413505233167308468 |
| 61GER4SAS | Đất nước học Áo - Thụy Sĩ                                               |   01   |    |     2      |     *     | -7474188536995308463 |
| 61GER4TEA | Kiểm tra, đánh giá                                                      |   01   |    |     2      |     *     | -9146207655558026659 |
| 61GER4TEC | Biên dịch chuyên ngành Kinh tế, Thương mại                              |   01   |    |     3      |     *     | -8093352754217865233 |
